,Source,Target,Type,RawWeight,Weight
868,25,57,Undirected,10,0
869,3,55,Undirected,19,0
870,3,56,Undirected,11,0
871,3,57,Undirected,10,0
872,2,32,Undirected,5,0
873,2,34,Undirected,14,0
874,2,55,Undirected,9,0.165095874754218
875,2,48,Undirected,4,0
876,2,56,Undirected,4,0
877,2,47,Undirected,4,0
878,2,37,Undirected,5,0
879,2,57,Undirected,7,0.356981400993131
880,2,54,Undirected,6,0.290034611362518
881,9,55,Undirected,8,0
882,9,48,Undirected,6,0
883,9,56,Undirected,8,0.255481350734598
884,9,47,Undirected,6,0
885,9,57,Undirected,4,0
886,9,54,Undirected,3,0
